"segment","exchange","shortCode","symbol","token","scripId","strikePrice","expiry","lotSize","tickSize","instrumentType","optionType","isTBApproved","marginPercentage","volumeFreezeQty","quantityMultiplier","numerator","denominator","isMTFApproved","mtfMargin","nseAsmgsm","bseAsmgsm","nseSurvIndCode","isBKTAllowed","scripName"
"EQ","NSE","NCM","BPCL",526,42106,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BHARAT PETROLEUM CORP  LT"
"EQ","NSE","NCM","BPL",530,42138,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","LTASM - I (13)",false,"BPL LTD"
"EQ","NSE","NCM","BRIGADE",15184,42171,"","","","5.00000","0","",true,"31.05","","","","",false,"100.00","0","100","",false,"BRIGADE ENTER. LTD"
"EQ","NSE","NCM","BRITANNIA",547,42187,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BRITANNIA INDUSTRIES LTD"
"EQ","NSE","NCM","BRNL",21683,42199,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","Long Term ASM - 1",false,"BHARAT ROAD NETWORK LTD"
"EQ","NSE","NCM","BROOKS",25140,42214,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","35","100","Long Term ASM - 1,Loss making",false,"BROOKS LAB LIMITED"
"EQ","NSE","NCM","BSE",19585,42221,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","13","0","Long Term ASM - 1",true,"BSE LIMITED"
"EQ","NSE","NCM","BSHSL",812,42235,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","0","0","",false,"BOMBAY SUPER HYBRID SEEDS"
"EQ","NSE","NCM","BSL",559,42245,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","ESM - I (34)",false,"BSL LTD"
"EQ","NSE","NCM","BSLGOLDETF",23804,42478,"","","","5.00000","4","",true,"20.00","","","","",false,"100.00","0","100","",false,"ADITYBIRLA SL GOLD ETF-GR"
"EQ","NSE","NCM","BSOFT",6994,42522,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"BIRLASOFT LIMITED"
"EQ","NSE","NCM","BURNPUR",15198,42531,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","36","0","ESM - 1,Loss making",false,"BURNPUR CEMENT LTD."
"EQ","NSE","NCM","BUTTERFLY",2716,42544,"","","","5.00000","0","",true,"30.07","","","","",false,"100.00","0","100","",false,"BTRFLY GANDHI APPL LTD"
"EQ","NSE","NCM","BVCL",15073,42550,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","ESM - 1",false,"BARAK VALLEY CEM. LTD."
"EQ","NSE","NCM","BYKE",7930,42560,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","LTASM - I (13)",false,"THE BYKE HOSPITALITY LTD"
"EQ","NSE","NCM","CADILAHC",7929,42593,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"CADILA HEALTHCARE LIMITED"
"EQ","NSE","NCM","CADSYS",21824,42599,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","34","0","LTASM - I (13)",false,"CADSYS (INDIA) LIMITED"
